# z_redshift H(z)_observado erro_H(z)
0.0100 63.2394 6.1495
0.0786 76.5855 10.5361
0.1472 69.6020 9.2602
0.2159 75.4272 8.5612
0.2845 77.7096 5.3074
0.3531 94.3118 5.5165
0.4217 87.4234 4.8826
0.4903 77.9211 12.4435
0.5590 103.4586 10.4459
0.6276 84.2564 11.9397
0.6962 104.0948 5.3607
0.7648 76.3817 15.7700
0.8334 91.9800 14.8911
0.9021 118.0181 8.2906
0.9707 127.2638 8.2612
1.0393 127.5605 8.6166
1.1079 129.9233 10.5471
1.1766 132.1288 13.9711
1.2452 122.1380 13.2016
1.3138 138.7243 11.6392
1.3824 144.8499 16.9745
1.4510 169.0571 10.1265
1.5197 168.6167 13.0029
1.5883 144.0805 14.7329
1.6569 181.5244 16.8334
1.7255 173.1707 23.4142
1.7941 179.4836 13.1823
1.8628 206.8066 19.7498
1.9314 223.7967 21.9731
2.0000 218.2210 11.3472
